epoch,logits_mean,probs_std,step,test_loss,test_mAP,train_loss,train_mAP,val_loss,val_mAP
25,17.494525909423828,0.0,16249,,,15.940397262573242,0.08946976810693741,,
26,,,16874,,,,,16.131107330322266,0.0872790664434433
26,17.481475830078125,0.0,16874,,,15.92870044708252,0.08946976810693741,,
27,,,17499,,,,,16.113380432128906,0.0872790664434433
27,17.471725463867188,0.0,17499,,,15.920019149780273,0.08946976810693741,,
28,,,18124,,,,,16.138561248779297,0.0872790664434433
28,17.466175079345703,0.0,18124,,,15.915205001831055,0.08946976810693741,,
29,,,18749,,,,,16.104244232177734,0.0872790664434433
29,17.45462417602539,0.0,18749,,,15.904160499572754,0.08946976810693741,,
30,,,19374,,,,,16.115835189819336,0.0872790664434433
30,17.443025588989258,0.0,19374,,,15.893782615661621,0.08946976810693741,,
31,,,19999,,,,,16.087160110473633,0.0872790664434433
31,17.439899444580078,0.0,19999,,,15.890951156616211,0.08946976810693741,,
32,,,20624,,,,,16.10375213623047,0.0872790664434433
32,17.42752456665039,0.0,20624,,,15.87966251373291,0.08946976810693741,,
33,,,21249,,,,,16.089031219482422,0.0872790664434433
33,17.420900344848633,0.0,21249,,,15.873879432678223,0.08946976810693741,,
34,,,21874,,,,,16.064563751220703,0.0872790664434433
34,17.4133243560791,0.0,21874,,,15.867143630981445,0.08946976810693741,,
35,,,22499,,,,,16.075714111328125,0.0872790664434433
35,17.40814971923828,0.0,22499,,,15.862251281738281,0.08946976810693741,,
36,,,23124,,,,,16.060691833496094,0.0872790664434433
36,17.400524139404297,0.0,23124,,,15.855243682861328,0.08946976810693741,,
37,,,23749,,,,,16.056631088256836,0.0872790664434433
37,17.401050567626953,0.0,23749,,,15.855934143066406,0.08946976810693741,,
38,,,24374,,,,,16.041366577148438,0.0872790664434433
38,17.391075134277344,0.0,24374,,,15.846474647521973,0.08946976810693741,,
39,,,24999,,,,,16.047893524169922,0.0872790664434433
39,17.380224227905273,0.0,24999,,,15.83691120147705,0.08946976810693741,,
40,,,25624,,,,,16.069406509399414,0.0872790664434433
40,17.381250381469727,0.0,25624,,,15.838052749633789,0.08946976810693741,,
41,,,26249,,,,,16.01346778869629,0.0872790664434433
41,17.3747501373291,0.0,26249,,,15.831981658935547,0.08946976810693741,,
42,,,26874,,,,,16.019731521606445,0.0872790664434433
42,17.380374908447266,0.0,26874,,,15.837190628051758,0.08946976810693741,,
43,,,27499,,,,,16.00029182434082,0.0872790664434433
43,17.364299774169922,0.0,27499,,,15.822799682617188,0.08946976810693741,,
44,,,28124,,,,,16.000261306762695,0.0872790664434433
44,17.35627555847168,0.0,28124,,,15.815195083618164,0.08946976810693741,,
45,,,28749,,,,,16.037147521972656,0.0872790664434433
45,17.352474212646484,0.0,28749,,,15.81212043762207,0.08946976810693741,,
46,,,29374,,,,,16.003175735473633,0.0872790664434433
46,17.365249633789062,0.0,29374,,,15.823437690734863,0.08946976810693741,,
47,,,29999,,,,,16.043033599853516,0.0872790664434433
